127.0.0.1 - - [06/Mar/2016:16:44:04 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:16 +0800] "GET /HeheRenAdmin/ HTTP/1.1" 200 11089
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:17 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:17 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:30 +0800] "GET /HeheRenAdmin/ HTTP/1.1" 200 11089
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:30 +0800] "GET /HeheRenAdmin/css/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:30 +0800] "GET /HeheRenAdmin/js/webuploader-0.1.5/webuploader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:30 +0800] "GET /HeheRenAdmin/css/charisma-app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:30 +0800] "GET /HeheRenAdmin/css/bootstrap-cerulean.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:30 +0800] "GET /HeheRenAdmin/css/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:30 +0800] "GET /HeheRenAdmin/css/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/noty_theme_default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/elfinder.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/elfinder.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/responsive-tables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/bootstrap-tour.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/jquery.noty.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/uploadify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/css/jquery.iphone.toggle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/js/fullcalendar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/js/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2016:16:44:31 +0800] "GET /HeheRenAdmin/js/chosen.jquery.min.js HTTP/1.1" 304 -
